collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,
SDG,SDG labour market indicators,ARG,Argentina,FA:865,ARG - ADM-IR - Registros de seguros,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2005,14.3,,,,,T13:149_I4:219,Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),S3:26,Data reference period: Noncalendar year,
SDG,SDG labour market indicators,ARG,Argentina,FA:865,ARG - ADM-IR - Registros de seguros,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2006,14.9,,,,,T13:149_I4:219,Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),S3:26,Data reference period: Noncalendar year,
SDG,SDG labour market indicators,ARG,Argentina,FA:865,ARG - ADM-IR - Registros de seguros,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2007,14.1,,,,,T13:149_I4:219,Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),S3:26,Data reference period: Noncalendar year,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2009,10.6,,,,,T13:149_T14:154_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Time period for occurrence of death: Deaths occurring within the same reference year,,,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2010,10.9,,,,,T13:149_T14:154_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Time period for occurrence of death: Deaths occurring within the same reference year,,,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2011,7.7,,,,,T13:149_T14:154_I4:219_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 persons insured) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_M,Sex: Male,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2011,11.4,,,,,T13:149_T14:154_I4:219_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 persons insured) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_F,Sex: Female,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2011,0.6,,,,,T13:149_T14:154_I4:219_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 persons insured) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2012,6.8,,,,,T13:149_T14:154_I4:217_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 workers employed) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_M,Sex: Male,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2012,10.6,,,,,T13:149_T14:154_I4:217_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 workers employed) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_F,Sex: Female,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2012,0.5,,,,,T13:149_T14:154_I4:217_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 workers employed) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2014,4.7,,,,,T13:149_T14:154_I4:219_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 persons insured) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_M,Sex: Male,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2014,7.7,,,,,T13:149_T14:154_I4:219_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 persons insured) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_F,Sex: Female,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2014,0.4,,,,,T13:149_T14:154_I4:219_I1:468,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease | Type of rate: Incidence rate (per 100'000 persons insured) | Time period for occurrence of death: Deaths occurring within the same reference year,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2015,4.9,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_M,Sex: Male,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2015,7.6,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_F,Sex: Female,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2015,0.2,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2016,4.2,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_M,Sex: Male,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2016,6.6,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_F,Sex: Female,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2016,0.3,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2017,4.4,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_MIGRANT,Status: Migrants,,,,,,,,,2017,4.5,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_T,Sex: Total,MIG_STATUS_NONMIG,Status: Non migrants,,,,,,,,,2017,4.1,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
SDG,SDG labour market indicators,ARG,Argentina,FX:154,ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales,SDG_F881_SEX_MIG_RT,[8.8.1] Fatal occupational injuries per 100'000 workers null,SEX_M,Sex: Male,MIG_STATUS_TOTAL,Status: Total,,,,,,,,,2017,6.5,,,,,T13:149_T14:154,Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease,S9:259,Reference group coverage: Insured persons,
