ISSUER_NAME;issuerId;ISSUER_TICKER;ISSUER_CUSIP;ISSUER_SEDOL;ISSUER_ISIN;ISSUER_CNTRY_DOMICILE;IVA_INDUSTRY;GICS_SUB_IND;IVA_RATING_DATE;IVA_COMPANY_RATING;INDUSTRY_ADJUSTED_SCORE;WEIGHTED_AVERAGE_SCORE;ENVIRONMENTAL_PILLAR_SCORE;ENVIRONMENTAL_PILLAR_WEIGHT;SOCIAL_PILLAR_SCORE;SOCIAL_PILLAR_WEIGHT;GOVERNANCE_PILLAR_SCORE;GOVERNANCE_PILLAR_WEIGHT;CLIMATE_CHANGE_THEME_SCORE;CLIMATE_CHANGE_THEME_WEIGHT;NATURAL_RES_USE_THEME_SCORE;NATURAL_RES_USE_THEME_WEIGHT;WASTE_MGMT_THEME_SCORE;WASTE_MGMT_THEME_WEIGHT;ENVIRONMENTAL_OPPS_THEME_SCORE;ENVIRONMENTAL_OPPS_THEME_WEIGHT;HUMAN_CAPITAL_THEME_SCORE;HUMAN_CAPITAL_THEME_WEIGHT;PRODUCT_SAFETY_THEME_SCORE;PRODUCT_SAFETY_THEME_WEIGHT;SOCIAL_OPPS_THEME_SCORE;SOCIAL_OPPS_THEME_WEIGHT;CORPORATE_GOV_THEME_SCORE;CORPORATE_GOV_THEME_WEIGHT;BUSINESS_ETHICS_THEME_SCORE;BUSINESS_ETHICS_THEME_WEIGHT;GOVERNMENT_PUB_POL_THEME_SCORE;GOVERNMENT_PUB_POL_THEME_WEIGHT;CARBON_EMISSIONS_SCORE;CARBON_EMISSIONS_WEIGHT;CARBON_EMISSIONS_EXP_SCORE;CARBON_EMISSIONS_MGMT_SCORE;ENERGY_EFFICIENCY_SCORE;ENERGY_EFFICIENCY_WEIGHT;ENERGY_EFFICIENCY_EXP_SCORE;ENERGY_EFFICIENCY_MGMT_SCORE;PROD_CARB_FTPRNT_SCORE;PROD_CARB_FTPRNT_WEIGHT;PROD_CARB_FTPRNT_EXP_SCORE;PROD_CARB_FTPRNT_MGMT_SCORE;INS_CLIMATE_CHG_RISK_SCORE;INS_CLIMATE_CHG_RISK_WEIGHT;INS_CLIMATE_CHG_RISK_EXP_SCORE;INS_CLIMATE_CHG_RISK_MGMT_SCORE;WATER_STRESS_SCORE;WATER_STRESS_WEIGHT;WATER_STRESS_EXP_SCORE;WATER_STRESS_MGMT_SCORE;BIODIV_LAND_USE_SCORE;BIODIV_LAND_USE_WEIGHT;BIODIV_LAND_USE_EXP_SCORE;BIODIV_LAND_USE_MGMT_SCORE;RAW_MAT_SRC_SCORE;RAW_MAT_SRC_WEIGHT;FINANCING_ENV_IMP_SCORE;FINANCING_ENV_IMP_WEIGHT;FINANCING_ENV_IMP_EXP_SCORE;FINANCING_ENV_IMP_MGMT_SCORE;TOXIC_EMISS_WSTE_SCORE;TOXIC_EMISS_WSTE_WEIGHT;TOXIC_EMISS_WSTE_EXP_SCORE;TOXIC_EMISS_WSTE_MGMT_SCORE;PACK_MAT_WASTE_SCORE;PACK_MAT_WASTE_WEIGHT;PACK_MAT_WASTE_EXP_SCORE;PACK_MAT_WASTE_MGMT_SCORE;E_WASTE_SCORE;E_WASTE_WEIGHT;E_WASTE_EXP_SCORE;E_WASTE_MGMT_SCORE;OPPS_CLN_TECH_SCORE;OPPS_CLN_TECH_WEIGHT;OPPS_CLN_TECH_EXP_SCORE;OPPS_CLN_TECH_MGMT_SCORE;OPPS_GREEN_BUILDING_SCORE;OPPS_GREEN_BUILDING_WEIGHT;OPPS_GREEN_BUILDING_EXP_SCORE;OPPS_GREEN_BUILDING_MGMT_SCORE;OPPS_RENEW_ENERGY_SCORE;OPPS_RENEW_ENERGY_WEIGHT;OPPS_RENEW_ENERGY_EXP_SCORE;OPPS_RENEW_ENERGY_MGMT_SCORE;LABOR_MGMT_SCORE;LABOR_MGMT_WEIGHT;LABOR_MGMT_EXP_SCORE;LABOR_MGMT_MGMT_SCORE;HLTH_SAFETY_SCORE;HLTH_SAFETY_WEIGHT;HLTH_SAFETY_EXP_SCORE;HLTH_SAFETY_MGMT_SCORE;HUMAN_CAPITAL_DEV_SCORE;HUMAN_CAPITAL_DEV_WEIGHT;HUMAN_CAPITAL_DEV_EXP_SCORE;HUMAN_CAPITAL_DEV_MGMT_SCORE;SUPPLY_CHAIN_LAB_SCORE;SUPPLY_CHAIN_LAB_WEIGHT;SUPPLY_CHAIN_LAB_EXP_SCORE;SUPPLY_CHAIN_LAB_MGMT_SCORE;CONTROV_SRC_SCORE;CONTROV_SRC_WEIGHT;CONTROV_SRC_EXP_SCORE;CONTROV_SRC_MGMT_SCORE;PROD_SFTY_QUALITY_SCORE;PROD_SFTY_QUALITY_WEIGHT;PROD_SFTY_QUALITY_EXP_SCORE;PROD_SFTY_QUALITY_MGMT_SCORE;CHEM_SAFETY_SCORE;CHEM_SAFETY_WEIGHT;CHEM_SAFETY_EXP_SCORE;CHEM_SAFETY_MGMT_SCORE;PRIVACY_DATA_SEC_SCORE;PRIVACY_DATA_SEC_WEIGHT;PRIVACY_DATA_SEC_EXP_SCORE;PRIVACY_DATA_SEC_MGMT_SCORE;FIN_PROD_SAFETY_SCORE;FIN_PROD_SAFETY_WEIGHT;FIN_PROD_SAFETY_EXP_SCORE;FIN_PROD_SAFETY_MGMT_SCORE;RESPONSIBLE_INVEST_SCORE;RESPONSIBLE_INVEST_WEIGHT;RESPONSIBLE_INVEST_EXP_SCORE;RESPONSIBLE_INVEST_MGMT_SCORE;INS_HLTH_DEMO_RISK_SCORE;INS_HLTH_DEMO_RISK_WEIGHT;INS_HLTH_DEMO_RISK_EXP_SCORE;INS_HLTH_DEMO_RISK_MGMT_SCORE;OPPS_NUTRI_HLTH_SCORE;OPPS_NUTRI_HLTH_WEIGHT;OPPS_NUTRI_HLTH_EXP_SCORE;OPPS_NUTRI_HLTH_MGMT_SCORE;ACCESS_TO_COMM_SCORE;ACCESS_TO_COMM_WEIGHT;ACCESS_TO_COMM_EXP_SCORE;ACCESS_TO_COMM_MGMT_SCORE;ACCESS_TO_HLTHCRE_SCORE;ACCESS_TO_HLTHCRE_WEIGHT;ACCESS_TO_HLTHCRE_EXP_SCORE;ACCESS_TO_HLTHCRE_MGMT_SCORE;ACCESS_TO_FIN_SCORE;ACCESS_TO_FIN_WEIGHT;ACCESS_TO_FIN_EXP_SCORE;ACCESS_TO_FIN_MGMT_SCORE;CORP_GOVERNANCE_SCORE;CORP_GOVERNANCE_WEIGHT;CORRUPTION_INST_SCORE;CORRUPTION_INST_WEIGHT;CORRUPTION_INST_EXP_SCORE;CORRUPTION_INST_MGMT_SCORE;BUS_ETHICS_FRAUD_SCORE;BUS_ETHICS_FRAUD_WEIGHT;BUS_ETHICS_FRAUD_MGMT_SCORE;ANTICOMP_PRACT_SCORE;ANTICOMP_PRACT_WEIGHT;ANTICOMP_PRACT_MGMT_SCORE;FINANCIAL_SYS_INST_SCORE;FINANCIAL_SYS_INST_WEIGHT;FINANCIAL_SYS_INST_EXP_SCORE;FINANCIAL_SYS_INST_MGMT_SCORE
1&1 Drillisch AG;IID000000002132276;DRI;;5734672;DE0005545503;DE;Telecommunication Services;Wireless Telecommunication Services;20180322;CCC;0.0;2.7;6.2;5.0;1.3;54.0;4.1;41.0;6.2;5.0;5.8;0.0;;0.0;;;3.5;18.0;0.0;22.0;0.7;14.0;6.5;19.0;2.1;22.0;;;6.2;5.0;2.5;1.7;;;1.0;;;;1.9;;;;;;5.8;0.0;2.2;1.0;;;1.2;;;;;;;;;0.0;1.7;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;3.5;18.0;6.0;2.5;;0.0;1.5;;0.0;0.0;7.2;0.0;;;;;;;;;;;6.6;;;;0.0;;0.0;22.0;10.0;2.7;;;;;;;;;;;;;;;0.0;;0.7;14.0;7.2;0.0;;;;;;;0.0;;6.5;19.0;2.1;22.0;6.3;1.4;5.0;0.0;5.0;5.0;0.0;5.0;;;;
1-800-FLOWERS.COM, INC.;IID000000002140769;FLWS;68243Q106;2444123;US68243Q1067;US;Retail - Consumer Discretionary;Internet & Direct Marketing Retail;20180427;BB;4.0;4.4;0.7;14.0;5.2;57.0;4.5;29.0;0.7;14.0;;0.0;;0.0;;;4.3;21.0;5.7;36.0;;;4.5;29.0;;;;;6.3;0.0;2.4;1.7;;;1.9;;0.7;14.0;6.3;0.0;;;;;;0.0;3.0;;;;2.2;;;;;;;;;0.0;2.7;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;4.3;21.0;5.1;2.4;;0.0;1.9;;7.1;0.0;3.4;3.5;;;;;;;;;;;4.0;;;;3.0;;5.7;36.0;6.0;4.7;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;0.0;;4.5;29.0;;;;;;;;;;;;;;
1ST SOURCE CORPORATION;IID000000002145180;SRCE;336901103;2341848;US3369011032;US;Banks;Regional Banks;20181227;B;1.9;3.9;1.5;5.0;3.1;60.0;5.6;35.0;1.5;5.0;;0.0;;;;;5.4;13.0;2.4;30.0;2.4;17.0;4.7;18.0;6.6;17.0;;;7.0;0.0;1.1;2.0;;;0.4;;;;0.6;;;;;;;0.0;2.6;;;;0.8;;;;1.5;5.0;5.8;0.3;;0.0;1.3;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;0.0;;;;0.0;0.6;;5.4;13.0;6.1;4.5;;;;;;;;;;;2.7;;;;0.0;;0.0;13.0;9.7;1.7;4.3;17.0;6.9;4.2;;;;;;;;;;;0.0;;;;0.0;;;;;;2.4;17.0;5.5;1.7;4.7;18.0;;;;;;0.0;;;0.0;;6.6;17.0;6.0;5.6
2U Inc;IID000000002687468;TWOU;90214J101;BKWBZZ0;US90214J1016;US;Software & Services;Application Software;20180308;BB;4.1;4.5;6.7;5.0;3.3;66.0;6.6;29.0;6.7;5.0;;0.0;;0.0;;;3.4;29.0;3.3;37.0;;;6.6;29.0;;;;;6.7;5.0;1.8;1.7;;;5.0;;;;1.2;;;;;;;0.0;3.2;;;;0.9;;;;;;;;;0.0;3.1;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;0.0;;;;0.0;1.2;;3.4;29.0;7.5;3.9;;;;;;;;;;;4.3;;;;1.1;;3.3;37.0;7.0;3.3;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;0.0;;6.6;29.0;;;;;;0.0;;;0.0;;;;;
360 Security Technology Inc;IID000000002634749;601360;;BFY1ZJ7;CNE100002RZ2;CN;Software & Services;Systems Software;20190129;A;6.2;4.8;2.3;24.0;5.3;50.0;6.3;26.0;6.5;5.0;6.3;0.0;;;1.2;19.0;3.3;25.0;7.3;25.0;;;6.3;26.0;;0.0;;;6.5;5.0;1.4;1.5;;;3.6;;;;5.8;;;;;;6.3;0.0;2.4;1.7;;;1.9;;;;;;;;;;2.2;;;;4.3;;;;0.0;;1.2;19.0;5.1;0.0;;;0.0;;;;0.0;;4.5;0.0;5.6;3.1;;;0.4;;3.3;25.0;7.1;3.4;;;;;;;;;;;3.6;;;;0.9;;7.3;25.0;5.0;5.3;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;0.0;;6.3;26.0;6.4;0.0;6.3;5.7;5.0;;5.0;5.0;;5.0;;;;
3D SYSTEMS CORPORATION;IID000000002155328;DDD;88554D205;2889768;US88554D2053;US;Technology Hardware, Storage & Peripherals;Technology Hardware, Storage & Peripherals;20180627;BB;3.6;4.6;4.9;28.0;3.6;52.0;6.9;20.0;4.7;0.0;;0.0;6.9;14.0;2.9;14.0;2.8;38.0;;;;;6.9;20.0;;0.0;;;4.7;0.0;4.3;1.7;;;3.7;;;;5.3;;;;;;;0.0;5.5;;;;3.0;;;;;;;;;0.0;5.8;;;;0.0;;6.9;14.0;2.4;2.4;2.9;14.0;1.8;1.3;;;0.0;;;;0.0;;;0.0;;;;0.0;2.4;;2.0;19.0;7.2;2.2;3.6;19.0;3.4;0.0;5.9;14.0;5.1;4.0;;;3.1;;;;6.0;;;;;;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;0.0;;6.9;20.0;;;;;;0.0;;;0.0;;;;;
3I GROUP PLC;IID000000002128337;III;88579N105;B1YW440;GB00B1YW4409;GB;Asset Management & Custody Banks;Asset Management & Custody Banks;20180730;AA;8.3;6.2;10.0;5.0;5.2;69.0;8.0;26.0;10.0;5.0;6.9;0.0;;0.0;;;3.0;25.0;6.5;44.0;;;8.0;26.0;;0.0;;;10.0;5.0;1.1;7.2;;;0.3;;;;0.8;;;;;;6.9;0.0;1.0;1.9;;;0.6;;;;;;;;;0.0;0.7;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;10.0;0.0;2.5;5.7;;0.0;0.3;;3.0;25.0;10.0;6.0;;;;;;;;;;;3.3;;;;0.0;;7.4;25.0;5.6;6.0;;;;;5.2;19.0;8.5;6.7;;;;;;;0.0;;;;0.0;;;;;;;;0.3;;8.0;26.0;8.2;0.0;4.9;6.1;5.0;;5.0;5.0;;5.0;;;;
3M COMPANY;IID000000002155335;MMM;88579Y101;2595708;US88579Y1010;US;Industrial Conglomerates;Industrial Conglomerates;20180809;AAA;10.0;6.8;7.1;40.0;5.2;20.0;7.4;40.0;9.5;0.0;7.9;0.0;7.7;25.0;6.1;15.0;5.2;20.0;;0.0;;;6.3;20.0;8.5;20.0;;;9.5;0.0;4.5;7.0;;;2.0;;;;5.1;;;;;;7.9;0.0;6.0;6.9;;;3.0;;;;;;;;7.7;25.0;4.8;5.5;;;0.0;;;;0.0;;6.1;15.0;2.1;6.8;;;0.0;;;;0.0;;5.2;20.0;9.0;7.2;;0.0;3.1;;10.0;0.0;4.4;7.5;;;;;;;;;;;7.1;;;;5.4;;9.0;0.0;3.0;5.0;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;0.0;;6.3;20.0;8.5;20.0;6.3;7.8;3.7;0.0;3.7;5.0;0.0;5.0;;;;
3SBIO INC.;IID000000002199174;1530;;BY9D3L9;KYG8875G1029;CN;Biotechnology;Biotechnology;20180723;BB;4.0;4.5;6.2;11.0;5.3;55.0;2.5;34.0;8.0;0.0;4.2;0.0;6.2;11.0;;;4.1;19.0;6.8;21.0;4.8;15.0;5.4;15.0;0.2;19.0;;;8.0;0.0;2.7;3.7;;;1.2;;;;2.2;;;;;;4.2;0.0;4.8;2.0;;;2.3;;;;;;;;6.2;11.0;4.1;3.3;;;0.0;;;;0.0;;;;5.1;;;;0.0;;;;0.0;;5.7;0.0;4.6;3.3;;0.0;1.5;;4.1;19.0;7.4;4.5;;;;;;;;;6.8;21.0;7.0;6.8;;;6.1;;6.9;0.0;2.6;2.5;;;;;;;;;;;;;;;0.0;;;;0.0;;4.8;15.0;5.3;4.7;;;0.0;;5.4;15.0;0.2;19.0;10.0;3.2;5.0;0.0;5.0;5.0;0.0;5.0;;;;
51JOB, INC.;IID000000002199177;JOBS;316827104;B02TT74;US3168271043;CN;Professional Services;Human Resource & Employment Services;20180730;BB;3.1;4.7;6.5;5.0;4.5;62.0;4.7;33.0;6.5;5.0;;;;;;;4.4;31.0;4.6;31.0;;;4.7;33.0;;;;;6.5;5.0;1.2;1.5;;;0.3;;;;0.7;;;;;;5.8;0.0;2.8;1.5;;;1.4;;;;;;;;;;1.8;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;4.4;31.0;5.7;3.1;;;1.1;;1.0;0.0;8.9;2.9;;;;;;;;;;;2.8;;;;0.0;;4.6;31.0;4.1;1.7;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;0.0;;4.7;33.0;3.8;0.0;6.2;3.0;5.0;;5.0;5.0;;5.0;;;;
