issuerId;ISSUER_NAME;ISSUER_TICKER;ISSUER_CNTRY_DOMICILE_NAME;ISSUER_CNTRY_DOMICILE;IVA_INDUSTRY;IVA_INDUSTRY_CODE;GICS_SUB_IND;IVA_COMPANY_RATING;INDUSTRY_ADJUSTED_SCORE;AGR_RATING;GOVERNANCE_SCORE;OVERALL_FLAG;ABORT_TIE;CONTRA_TIE;AE_TIE;ALC_TIE;FIREARM_TIE;GAM_TIE;NUC_TIE;TOB_TIE;WEAP_GTIE;CB_TIE;LM_TIE
IID000000002132276;1&1 Drillisch AG;DRI;Germany;DE;Telecommunication Services;15705;Wireless Telecommunication Services;CCC;0.0;Aggressive;6.50;Green;;;;;;;;;;;
IID000000002140769;1-800-FLOWERS.COM, INC.;FLWS;United States of America;US;Retail - Consumer Discretionary;15696;Internet & Direct Marketing Retail;BB;4.0;Average;4.50;Green;;;;true;;;;;;;
IID000000002587800;13 Jul Plantaze ad Podgorica;PLAP;Montenegro;ME;;;;;;;;;;;;true;;;;;;;
IID000000002155291;1ST CONSTITUTION BANCORP;FCCY;United States of America;US;Banks;15698;Regional Banks;;;Aggressive;4.70;Green;;;;;;;;;;;
IID000000002145180;1ST SOURCE CORPORATION;SRCE;United States of America;US;Banks;15698;Regional Banks;B;1.9;Average;4.50;Green;;;;;;;;;;;
IID000000002187139;22ND CENTURY GROUP, INC.;XXII;United States of America;US;Tobacco;15688;Tobacco;;;;7.30;Green;;;;;;;;true;;;
IID000000002687468;2U Inc;TWOU;United States of America;US;Software & Services;15356;Application Software;BB;4.1;Average;6.60;Green;;;;;;;;;;;
IID000000002634749;360 Security Technology Inc;601360;China;CN;Software & Services;15356;Systems Software;A;6.2;Average;6.30;Green;;;;;;;;;;;
IID000000002155328;3D SYSTEMS CORPORATION;DDD;United States of America;US;Technology Hardware, Storage & Peripherals;12898;Technology Hardware, Storage & Peripherals;BB;3.6;Average;6.50;Green;;;;;;;;;;;
IID000000002128337;3I GROUP PLC;III;United Kingdom;GB;Asset Management & Custody Banks;15576;Asset Management & Custody Banks;AA;8.3;Average;8.00;Green;;;;;;;;;;;
IID000000002155335;3M COMPANY;MMM;United States of America;US;Industrial Conglomerates;12923;Industrial Conglomerates;AAA;10.0;Average;6.30;Orange;;;;;;;;;true;;
IID000000002137779;3M INDIA LIMITED;3MINDIA;India;IN;Industrial Conglomerates;12923;Industrial Conglomerates;;;Conservative;;Yellow;;;;;;;;;true;;
IID000000002199174;3SBIO INC.;1530;China;CN;Biotechnology;12892;Biotechnology;BB;4.0;Average;5.40;Green;;;;;;;;;;;
IID000000002679386;500.COM LIMITED;WBAI;China;CN;Casinos & Gaming;15692;Casinos & Gaming;;;Very Aggressive;;Green;;;;;;true;;;;;
IID000000002199177;51JOB, INC.;JOBS;China;CN;Professional Services;15695;Human Resource & Employment Services;BB;3.1;Aggressive;4.70;Green;;;;;;;;;;;
IID000000002679429;58.com Inc.;WUBA;China;CN;Interactive Media & Services;15707;Interactive Media & Services;B;2.3;Aggressive;4.30;Yellow;;;;;;;;;;;
